GVhel	mag	l_mag	Type
  7057	15.8	>	Ia
  8639	17.8	>	Ia
  7221	16.5	>	Ia
  2678	14.3	>	Ia
  6306	15.5	>	Ia
 15033	18.3	>	Ia
  6906	15.9	>	Ia
  5192	16.0	>	Ia
  7024	17.0	>	Ia
  8914	18.0	>	Ia
  3161	15.3	>	Ia
  6355	17.6	>	Ia
 10232	18.3	>	Ia
  5338	18.0	>	Ia
  4071	15.8	>	Ia
149896	22.7	>	Ia
139404	22.8	>	Ia
 30579	20.1	>	Ia
  8774	19.8	>	Ia
 33577	21.5	>	Ia
  7195	21.1	>	Ia
  8394	17.4	>	Ia
 16188	19.6	>	Ia
  6595	17.5	>	Ia
 10051	17.5	>	Ia
 11018	16.6	>	Ia
  3339	17.7	>	Ia
  5962	16.8	>	Ia
 74948	21.2	>	Ia
  2579	15.4	>	Ia
  5915	15.9	>	Ia
  1953	18.2	>	Ia
  6138	17.2	>	Ia
  9290	17.5	>	Ia
  4707	16.2	>	Ia
  2651	13.4	>	Ia
  4750	16.0	>	Ia
  5805	16.8	>	Ia
  5190	15.7	>	Ia
  9034	18.2	>	Ia
 59958	20.9	>	Ia
 89938	21.5	>	Ia
 59958	22.0	>	Ia
 89937	22.9	>	Ia
149896	21.9	>	Ia
119916	22.5	>	Ia
179875	22.5	>	Ia
149896	22.3	>	Ia
149896	21.5	>	Ia
 59958	22.2	>	Ia
149896	22.6	>	Ia
149896	22.4	>	Ia
  2761	16.5	>	Ia
  4333	14.8	>	Ia
  5777	18.3	>	Ia
  5190	15.9	>	Ia
 65954	20.5	>	Ia
  9620	17.4	>	Ia
  3244	14.9	>	Ia
  4963	15.9	>	Ia
  8745	16.5	>	Ia
  7988	17.1	>	Ia

